,2020-21 ('000),2021-22 ('000),2022-23 ('000)
"Agriculture, forestry and fishing",-6,-10,-5
Mining,2,13,18
Manufacturing,9,29,31
"Electricity, gas, water and waste services",5,8,5
Construction,89,35,22
Wholesale trade,20,24,10
Retail trade,51,32,60
Accommodation and food services,101,5,145
"Transport, postal and warehousing",1,17,9
Information media and telecommunications,8,11,7
Auxiliary finance and insurance services,7,14,11
"Rental, hiring and real estate services",10,13,18
"Professional, scientific and technical services",77,86,40
Administrative and support services,68,50,-4
Public administration and safety (private),3,5,4
Education and training (private),28,16,18
Health care and social assistance (private),81,87,123
Arts and recreation services,20,23,11
Other services,43,14,52
