,Food ($m),Non-Food ($m)
19-Aug,459.8,"1,279.40"
19-Sep,482.3,"1,282.80"
19-Oct,506,"1,264.50"
19-Nov,494.2,"1,299.10"
19-Dec,492.3,"1,413.50"
20-Jan,502.1,"1,328.70"
20-Feb,530.8,"1,395.70"
20-Mar,531.2,"1,657.20"
20-Apr,582.3,"2,258.90"
20-May,743.2,"2,222.40"
20-Jun,791.4,"2,141.60"
20-Jul,806.5,"2,171.50"
20-Aug,859,"2,254.90"
20-Sep,859,"2,187.60"
20-Oct,842.7,"2,179.80"
20-Nov,824.7,"2,133.90"
20-Dec,829.2,"2,083.50"
21-Jan,897.7,"2,091.00"
21-Feb,886,"2,089.00"
21-Mar,929.4,"2,083.60"
21-Apr,880.2,"2,092.70"
21-May,800.6,"2,018.40"
21-Jun,903.1,"2,370.40"
21-Jul,993.1,"2,735.70"
21-Aug,"1,149.20","3,124.80"
21-Sep,"1,088.10","3,242.10"
21-Oct,"1,044.80","3,004.50"
21-Nov,975.7,"2,617.90"
21-Dec,"1,015.70","2,527.10"
22-Jan,"1,037.80","2,758.40"
22-Feb,"1,010.70","2,642.90"
22-Mar,"1,032.40","2,735.00"
22-Apr,"1,037.90","2,661.30"
22-May,"1,019.60","2,603.10"
22-Jun,991.8,"2,651.40"
22-Jul,"1,033.70","2,651.80"
22-Aug,"1,024.70","2,595.60"
22-Sep,"1,011.30","2,574.70"
22-Oct,"1,012.00","2,592.90"
22-Nov,"1,073.20","2,761.70"
22-Dec,"1,095.30","2,707.70"
23-Jan,"1,057.70","2,776.50"
23-Feb,"1,056.60","2,848.60"
23-Mar,"1,087.60","2,747.60"
23-Apr,"1,051.40","2,710.00"
23-May,"1,109.10","2,791.10"
23-Jun,"1,129.80","2,782.90"
23-Jul,"1,083.90","2,547.70"
23-Aug,"1,095.30","2,560.60"
23-Sep,"1,107.70","2,614.20"
23-Oct,"1,185.30","2,551.90"
23-Nov,"1,184.70","2,683.90"
23-Dec,"1,214.30","2,726.40"
24-Jan,"1,189.80","2,769.10"
24-Feb,"1,229.40","2,787.30"
24-Mar,"1,214.30","2,774.10"
24-Apr,"1,283.40","2,965.30"
24-May,"1,236.00","2,905.20"
24-Jun,"1,264.60","2,930.90"
24-Jul,"1,243.80","2,946.10"
24-Aug,"1,226.30","2,917.10"
